nohup: ignoring input
Using config: Namespace(trial_name='simclr_trial', model_name='sim_clr', data_path='/data/amathur-23/ROB313', temperature=0.07, learning_rate=0.001, batch_size=16, epochs=30, early_stopping_patience=5, early_stopping_threshold=0.001, log_dir='./runs', model_save_path='/data/amathur-23/ROB313/models', gpu_id=0, seed=42, test_freq=5, pretrained=True, weight_decay=0.0001, train_backbone=True)
Loading meta file: /data/amathur-23/ROB313/train_unlabeled.csv
Using ResNet50 with 2048 FC input features
Start SimCLR training for 30 epochs.

Epoch: [0/30] (84/1891), Average loss: 2.2542, lr: 0.0010
Epoch: [0/30] (85/1891), Average loss: 2.2561, lr: 0.0010
Epoch: [0/30] (86/1891), Average loss: 2.2620, lr: 0.0010
Epoch: [0/30] (87/1891), Average loss: 2.2605, lr: 0.0010
Epoch: [0/30] (88/1891), Average loss: 2.2589, lr: 0.0010
Epoch: [0/30] (89/1891), Average loss: 2.2588, lr: 0.0010
Epoch: [0/30] (90/1891), Average loss: 2.2583, lr: 0.0010
Epoch: [0/30] (91/1891), Average loss: 2.2564, lr: 0.0010
Epoch: [0/30] (92/1891), Average loss: 2.2506, lr: 0.0010
Epoch: [0/30] (93/1891), Average loss: 2.2449, lr: 0.0010
Epoch: [0/30] (94/1891), Average loss: 2.2436, lr: 0.0010
Epoch: [0/30] (95/1891), Average loss: 2.2400, lr: 0.0010
Epoch: [0/30] (96/1891), Average loss: 2.2310, lr: 0.0010
Epoch: [0/30] (97/1891), Average loss: 2.2246, lr: 0.0010
Epoch: [0/30] (98/1891), Average loss: 2.2136, lr: 0.0010
Epoch: [0/30] (99/1891), Average loss: 2.2061, lr: 0.0010
Epoch: [0/30] (100/1891), Average loss: 2.2009, lr: 0.0010
Epoch: [0/30] (101/1891), Average loss: 2.1953, lr: 0.0010
Epoch: [0/30] (102/1891), Average loss: 2.1925, lr: 0.0010
Epoch: [0/30] (103/1891), Average loss: 2.1898, lr: 0.0010
Epoch: [0/30] (104/1891), Average loss: 2.1841, lr: 0.0010
Epoch: [0/30] (105/1891), Average loss: 2.1767, lr: 0.0010
Epoch: [0/30] (106/1891), Average loss: 2.1784, lr: 0.0010
Epoch: [0/30] (107/1891), Average loss: 2.1764, lr: 0.0010
Epoch: [0/30] (108/1891), Average loss: 2.1665, lr: 0.0010
Epoch: [0/30] (109/1891), Average loss: 2.1652, lr: 0.0010
Epoch: [0/30] (110/1891), Average loss: 2.1595, lr: 0.0010
Epoch: [0/30] (111/1891), Average loss: 2.1579, lr: 0.0010
Epoch: [0/30] (112/1891), Average loss: 2.1582, lr: 0.0010
Epoch: [0/30] (113/1891), Average loss: 2.1588, lr: 0.0010
Epoch: [0/30] (114/1891), Average loss: 2.1553, lr: 0.0010
Epoch: [0/30] (115/1891), Average loss: 2.1499, lr: 0.0010
Epoch: [0/30] (116/1891), Average loss: 2.1468, lr: 0.0010
Epoch: [0/30] (117/1891), Average loss: 2.1426, lr: 0.0010
Epoch: [0/30] (118/1891), Average loss: 2.1432, lr: 0.0010
Epoch: [0/30] (119/1891), Average loss: 2.1444, lr: 0.0010
Epoch: [0/30] (120/1891), Average loss: 2.1465, lr: 0.0010
Epoch: [0/30] (121/1891), Average loss: 2.1429, lr: 0.0010
Epoch: [0/30] (122/1891), Average loss: 2.1422, lr: 0.0010
Epoch: [0/30] (123/1891), Average loss: 2.1430, lr: 0.0010
Epoch: [0/30] (124/1891), Average loss: 2.1423, lr: 0.0010
Epoch: [0/30] (125/1891), Average loss: 2.1418, lr: 0.0010
Epoch: [0/30] (126/1891), Average loss: 2.1389, lr: 0.0010
Epoch: [0/30] (127/1891), Average loss: 2.1358, lr: 0.0010
Epoch: [0/30] (128/1891), Average loss: 2.1344, lr: 0.0010
Epoch: [0/30] (129/1891), Average loss: 2.1323, lr: 0.0010
Epoch: [0/30] (130/1891), Average loss: 2.1302, lr: 0.0010
Epoch: [0/30] (131/1891), Average loss: 2.1243, lr: 0.0010
Epoch: [0/30] (132/1891), Average loss: 2.1199, lr: 0.0010
Epoch: [0/30] (133/1891), Average loss: 2.1181, lr: 0.0010
Epoch: [0/30] (134/1891), Average loss: 2.1107, lr: 0.0010
Epoch: [0/30] (135/1891), Average loss: 2.1128, lr: 0.0010
Epoch: [0/30] (136/1891), Average loss: 2.1079, lr: 0.0010
Epoch: [0/30] (137/1891), Average loss: 2.1038, lr: 0.0010
Epoch: [0/30] (138/1891), Average loss: 2.1039, lr: 0.0010
Epoch: [0/30] (139/1891), Average loss: 2.0971, lr: 0.0010
Epoch: [0/30] (140/1891), Average loss: 2.0961, lr: 0.0010
Epoch: [0/30] (141/1891), Average loss: 2.0964, lr: 0.0010
Epoch: [0/30] (142/1891), Average loss: 2.0935, lr: 0.0010
Epoch: [0/30] (143/1891), Average loss: 2.0886, lr: 0.0010
Epoch: [0/30] (144/1891), Average loss: 2.0827, lr: 0.0010
Epoch: [0/30] (145/1891), Average loss: 2.0808, lr: 0.0010
Epoch: [0/30] (146/1891), Average loss: 2.0779, lr: 0.0010
Epoch: [0/30] (147/1891), Average loss: 2.0759, lr: 0.0010
Epoch: [0/30] (148/1891), Average loss: 2.0708, lr: 0.0010
Epoch: [0/30] (149/1891), Average loss: 2.0694, lr: 0.0010
Epoch: [0/30] (150/1891), Average loss: 2.0662, lr: 0.0010
Epoch: [0/30] (151/1891), Average loss: 2.0640, lr: 0.0010
Epoch: [0/30] (152/1891), Average loss: 2.0612, lr: 0.0010
Epoch: [0/30] (153/1891), Average loss: 2.0631, lr: 0.0010
Epoch: [0/30] (154/1891), Average loss: 2.0603, lr: 0.0010
Epoch: [0/30] (155/1891), Average loss: 2.0653, lr: 0.0010
Epoch: [0/30] (156/1891), Average loss: 2.0625, lr: 0.0010
Epoch: [0/30] (157/1891), Average loss: 2.0596, lr: 0.0010
Epoch: [0/30] (158/1891), Average loss: 2.0591, lr: 0.0010
Epoch: [0/30] (159/1891), Average loss: 2.0587, lr: 0.0010
Epoch: [0/30] (160/1891), Average loss: 2.0556, lr: 0.0010
Epoch: [0/30] (161/1891), Average loss: 2.0574, lr: 0.0010
Epoch: [0/30] (162/1891), Average loss: 2.0560, lr: 0.0010
Epoch: [0/30] (163/1891), Average loss: 2.0577, lr: 0.0010
Epoch: [0/30] (164/1891), Average loss: 2.0546, lr: 0.0010
Epoch: [0/30] (165/1891), Average loss: 2.0551, lr: 0.0010
Epoch: [0/30] (166/1891), Average loss: 2.0542, lr: 0.0010
Epoch: [0/30] (167/1891), Average loss: 2.0510, lr: 0.0010
Epoch: [0/30] (168/1891), Average loss: 2.0471, lr: 0.0010
Epoch: [0/30] (169/1891), Average loss: 2.0435, lr: 0.0010
Epoch: [0/30] (170/1891), Average loss: 2.0404, lr: 0.0010
Epoch: [0/30] (171/1891), Average loss: 2.0343, lr: 0.0010
Epoch: [0/30] (172/1891), Average loss: 2.0441, lr: 0.0010
Epoch: [0/30] (173/1891), Average loss: 2.0402, lr: 0.0010
Epoch: [0/30] (174/1891), Average loss: 2.0405, lr: 0.0010
Epoch: [0/30] (175/1891), Average loss: 2.0367, lr: 0.0010
Epoch: [0/30] (176/1891), Average loss: 2.0336, lr: 0.0010
Epoch: [0/30] (177/1891), Average loss: 2.0287, lr: 0.0010
Epoch: [0/30] (178/1891), Average loss: 2.0267, lr: 0.0010
Epoch: [0/30] (179/1891), Average loss: 2.0240, lr: 0.0010
Epoch: [0/30] (180/1891), Average loss: 2.0242, lr: 0.0010
Epoch: [0/30] (181/1891), Average loss: 2.0248, lr: 0.0010
Epoch: [0/30] (182/1891), Average loss: 2.0217, lr: 0.0010
Epoch: [0/30] (183/1891), Average loss: 2.0173, lr: 0.0010
Epoch: [0/30] (184/1891), Average loss: 2.0135, lr: 0.0010
Epoch: [0/30] (185/1891), Average loss: 2.0098, lr: 0.0010
Epoch: [0/30] (186/1891), Average loss: 2.0057, lr: 0.0010
Epoch: [0/30] (187/1891), Average loss: 1.9997, lr: 0.0010
Epoch: [0/30] (188/1891), Average loss: 1.9941, lr: 0.0010
Epoch: [0/30] (189/1891), Average loss: 1.9928, lr: 0.0010
Epoch: [0/30] (190/1891), Average loss: 1.9889, lr: 0.0010
Epoch: [0/30] (191/1891), Average loss: 1.9858, lr: 0.0010
Epoch: [0/30] (192/1891), Average loss: 1.9833, lr: 0.0010
Epoch: [0/30] (193/1891), Average loss: 1.9836, lr: 0.0010
Epoch: [0/30] (194/1891), Average loss: 1.9839, lr: 0.0010
Epoch: [0/30] (195/1891), Average loss: 1.9807, lr: 0.0010
Epoch: [0/30] (196/1891), Average loss: 1.9796, lr: 0.0010
Epoch: [0/30] (197/1891), Average loss: 1.9827, lr: 0.0010
Epoch: [0/30] (198/1891), Average loss: 1.9819, lr: 0.0010
Epoch: [0/30] (199/1891), Average loss: 1.9821, lr: 0.0010
Epoch: [0/30] (200/1891), Average loss: 1.9795, lr: 0.0010
Epoch: [0/30] (201/1891), Average loss: 1.9798, lr: 0.0010
Epoch: [0/30] (202/1891), Average loss: 1.9799, lr: 0.0010
Epoch: [0/30] (203/1891), Average loss: 1.9774, lr: 0.0010
Epoch: [0/30] (204/1891), Average loss: 1.9746, lr: 0.0010
Epoch: [0/30] (205/1891), Average loss: 1.9764, lr: 0.0010
Epoch: [0/30] (206/1891), Average loss: 1.9740, lr: 0.0010
Epoch: [0/30] (207/1891), Average loss: 1.9727, lr: 0.0010
Epoch: [0/30] (208/1891), Average loss: 1.9708, lr: 0.0010
Epoch: [0/30] (209/1891), Average loss: 1.9676, lr: 0.0010
Epoch: [0/30] (210/1891), Average loss: 1.9638, lr: 0.0010
Epoch: [0/30] (211/1891), Average loss: 1.9606, lr: 0.0010
Epoch: [0/30] (212/1891), Average loss: 1.9567, lr: 0.0010
Epoch: [0/30] (213/1891), Average loss: 1.9536, lr: 0.0010
Epoch: [0/30] (214/1891), Average loss: 1.9517, lr: 0.0010
Epoch: [0/30] (215/1891), Average loss: 1.9482, lr: 0.0010
Epoch: [0/30] (216/1891), Average loss: 1.9451, lr: 0.0010
Epoch: [0/30] (217/1891), Average loss: 1.9391, lr: 0.0010
Epoch: [0/30] (218/1891), Average loss: 1.9362, lr: 0.0010
Epoch: [0/30] (219/1891), Average loss: 1.9328, lr: 0.0010
Epoch: [0/30] (220/1891), Average loss: 1.9324, lr: 0.0010
Epoch: [0/30] (221/1891), Average loss: 1.9340, lr: 0.0010
Epoch: [0/30] (222/1891), Average loss: 1.9323, lr: 0.0010
Epoch: [0/30] (223/1891), Average loss: 1.9314, lr: 0.0010
Epoch: [0/30] (224/1891), Average loss: 1.9283, lr: 0.0010
Epoch: [0/30] (225/1891), Average loss: 1.9243, lr: 0.0010
Epoch: [0/30] (226/1891), Average loss: 1.9223, lr: 0.0010
Epoch: [0/30] (227/1891), Average loss: 1.9176, lr: 0.0010
Epoch: [0/30] (228/1891), Average loss: 1.9144, lr: 0.0010
Epoch: [0/30] (229/1891), Average loss: 1.9115, lr: 0.0010
Epoch: [0/30] (230/1891), Average loss: 1.9074, lr: 0.0010
Epoch: [0/30] (231/1891), Average loss: 1.9037, lr: 0.0010
Epoch: [0/30] (232/1891), Average loss: 1.8995, lr: 0.0010
Epoch: [0/30] (233/1891), Average loss: 1.8962, lr: 0.0010
Epoch: [0/30] (234/1891), Average loss: 1.8937, lr: 0.0010
Epoch: [0/30] (235/1891), Average loss: 1.8896, lr: 0.0010
Epoch: [0/30] (236/1891), Average loss: 1.8891, lr: 0.0010
Epoch: [0/30] (237/1891), Average loss: 1.8840, lr: 0.0010
Epoch: [0/30] (238/1891), Average loss: 1.8813, lr: 0.0010
Epoch: [0/30] (239/1891), Average loss: 1.8810, lr: 0.0010
Epoch: [0/30] (240/1891), Average loss: 1.8769, lr: 0.0010
Epoch: [0/30] (241/1891), Average loss: 1.8741, lr: 0.0010
Epoch: [0/30] (242/1891), Average loss: 1.8736, lr: 0.0010
Epoch: [0/30] (243/1891), Average loss: 1.8743, lr: 0.0010
Epoch: [0/30] (244/1891), Average loss: 1.8735, lr: 0.0010
Epoch: [0/30] (245/1891), Average loss: 1.8766, lr: 0.0010
Epoch: [0/30] (246/1891), Average loss: 1.8764, lr: 0.0010
